Year,Month,Prefecture,Tourist (Japan)
2002,Jan,Tokyo,193396
2002,Feb,Tokyo,246832
2002,Mar,Tokyo,241138
2002,Apr,Tokyo,266858
2002,May,Tokyo,257757
2002,Jun,Tokyo,290136
2002,Jul,Tokyo,338632
2002,Aug,Tokyo,305793
2002,Sep,Tokyo,206064
2002,Oct,Tokyo,271771
2002,Nov,Tokyo,227666
2002,Dec,Tokyo,249283
2003,Jan,Tokyo,256609
2003,Feb,Tokyo,228905
2003,Mar,Tokyo,241866
2003,Apr,Tokyo,194739
2003,May,Tokyo,151597
2003,Jun,Tokyo,206149
2003,Jul,Tokyo,340213
2003,Aug,Tokyo,358013
2003,Sep,Tokyo,253197
2003,Oct,Tokyo,310992
2003,Nov,Tokyo,247764
2003,Dec,Tokyo,265296
2004,Jan,Tokyo,343533
2004,Feb,Tokyo,242463
2004,Mar,Tokyo,281643
2004,Apr,Tokyo,359573
2004,May,Tokyo,310428
2004,Jun,Tokyo,327006
2004,Jul,Tokyo,427874
2004,Aug,Tokyo,367292
2004,Sep,Tokyo,277151
2004,Oct,Tokyo,322783
2004,Nov,Tokyo,280670
2004,Dec,Tokyo,299245
2005,Jan,Tokyo,292004
2005,Feb,Tokyo,343172
2005,Mar,Tokyo,339690
2005,Apr,Tokyo,378597
2005,May,Tokyo,331430
2005,Jun,Tokyo,374180
2005,Jul,Tokyo,484817
2005,Aug,Tokyo,426917
2005,Sep,Tokyo,326321
2005,Oct,Tokyo,379015
2005,Nov,Tokyo,326877
2005,Dec,Tokyo,365553
2006,Jan,Tokyo,413532
2006,Feb,Tokyo,339445
2006,Mar,Tokyo,363923
2006,Apr,Tokyo,474844
2006,May,Tokyo,391485
2006,Jun,Tokyo,393762
2006,Jul,Tokyo,524366
2006,Aug,Tokyo,467016
2006,Sep,Tokyo,358422
2006,Oct,Tokyo,475608
2006,Nov,Tokyo,388497
2006,Dec,Tokyo,438422
2007,Jan,Tokyo,401624
2007,Feb,Tokyo,468163
2007,Mar,Tokyo,452074
2007,Apr,Tokyo,517652
2007,May,Tokyo,462407
2007,Jun,Tokyo,456056
2007,Jul,Tokyo,621877
2007,Aug,Tokyo,566071
2007,Sep,Tokyo,459813
2007,Oct,Tokyo,550587
2007,Nov,Tokyo,476640
2007,Dec,Tokyo,521216
2008,Jan,Tokyo,491401
2008,Feb,Tokyo,519469
2008,Mar,Tokyo,503308
2008,Apr,Tokyo,576014
2008,May,Tokyo,541672
2008,Jun,Tokyo,502577
2008,Jul,Tokyo,649234
2008,Aug,Tokyo,559421
2008,Sep,Tokyo,427406
2008,Oct,Tokyo,526631
2008,Nov,Tokyo,367572
2008,Dec,Tokyo,383976
2009,Jan,Tokyo,399352
2009,Feb,Tokyo,256117
2009,Mar,Tokyo,371017
2009,Apr,Tokyo,458192
2009,May,Tokyo,334957
2009,Jun,Tokyo,286981
2009,Jul,Tokyo,483541
2009,Aug,Tokyo,504395
2009,Sep,Tokyo,335416
2009,Oct,Tokyo,455813
2009,Nov,Tokyo,380067
2009,Dec,Tokyo,493985
2010,Jan,Tokyo,437752
2010,Feb,Tokyo,514106
2010,Mar,Tokyo,484298
2010,Apr,Tokyo,601872
2010,May,Tokyo,536880
2010,Jun,Tokyo,511123
2010,Jul,Tokyo,714623
2010,Aug,Tokyo,613413
2010,Sep,Tokyo,498421
2010,Oct,Tokyo,507872
2010,Nov,Tokyo,435315
2010,Dec,Tokyo,506299
2011,Jan,Tokyo,505543
2011,Feb,Tokyo,506441
2011,Mar,Tokyo,190730
2011,Apr,Tokyo,108820
2011,May,Tokyo,183799
2011,Jun,Tokyo,282118
2011,Jul,Tokyo,396559
2011,Aug,Tokyo,373195
2011,Sep,Tokyo,323947
2011,Oct,Tokyo,404377
2011,Nov,Tokyo,358056
2011,Dec,Tokyo,423650
2012,Jan,Tokyo,486156
2012,Feb,Tokyo,364800
2012,Mar,Tokyo,452710
2012,Apr,Tokyo,582655
2012,May,Tokyo,473792
2012,Jun,Tokyo,511443
2012,Jul,Tokyo,666603
2012,Aug,Tokyo,592809
2012,Sep,Tokyo,430025
2012,Oct,Tokyo,480255
2012,Nov,Tokyo,455666
2012,Dec,Tokyo,544731
2013,Jan,Tokyo,456009
2013,Feb,Tokyo,559949
2013,Mar,Tokyo,624502
2013,Apr,Tokyo,719277
2013,May,Tokyo,676551
2013,Jun,Tokyo,720877
2013,Jul,Tokyo,819985
2013,Aug,Tokyo,716059
2013,Sep,Tokyo,627679
2013,Oct,Tokyo,702911
2013,Nov,Tokyo,628688
2013,Dec,Tokyo,710030
2014,Jan,Tokyo,730519
2014,Feb,Tokyo,688902
2014,Mar,Tokyo,802434
2014,Apr,Tokyo,1020474
2014,May,Tokyo,892577
2014,Jun,Tokyo,866883
2014,Jul,Tokyo,1080552
2014,Aug,Tokyo,903919
2014,Sep,Tokyo,846241
2014,Oct,Tokyo,1029922
2014,Nov,Tokyo,943831
2014,Dec,Tokyo,1074350
2015,Jan,Tokyo,978476
2015,Feb,Tokyo,1207242
2015,Mar,Tokyo,1236489
2015,Apr,Tokyo,1528848
2015,May,Tokyo,1411626
2015,Jun,Tokyo,1398845
2015,Jul,Tokyo,1712803
2015,Aug,Tokyo,1584484
2015,Sep,Tokyo,1346488
2015,Oct,Tokyo,1564772
2015,Nov,Tokyo,1399516
2015,Dec,Tokyo,1599537
2016,Jan,Tokyo,1579364
2016,Feb,Tokyo,1670948
2016,Mar,Tokyo,1726361
2016,Apr,Tokyo,1825694
2016,May,Tokyo,1640187
2016,Jun,Tokyo,1773111
2016,Jul,Tokyo,2069994
2016,Aug,Tokyo,1802381
2016,Sep,Tokyo,1631531
2016,Oct,Tokyo,1848153
2016,Nov,Tokyo,1617057
2016,Dec,Tokyo,1864895
2017,Jan,Tokyo,2006775
2017,Feb,Tokyo,1791122
2017,Mar,Tokyo,1898944
2017,Apr,Tokyo,2300476
2017,May,Tokyo,2020226
2017,Jun,Tokyo,2117253
2017,Jul,Tokyo,2426074
2017,Aug,Tokyo,2208644
2017,Sep,Tokyo,1965310
2017,Oct,Tokyo,2289918
2017,Nov,Tokyo,2100951
2017,Dec,Tokyo,2315900
2018,Jan,Tokyo,2171045
2018,Feb,Tokyo,2280872
2018,Mar,Tokyo,2283596
2018,Apr,Tokyo,2603797
2018,May,Tokyo,2391395
2018,Jun,Tokyo,2454154
2018,Jul,Tokyo,2564205
2018,Aug,Tokyo,2295775
2018,Sep,Tokyo,1836045
2018,Oct,Tokyo,2310354
2018,Nov,Tokyo,2162583
